Experiment Metadata
Parameter,Value,Unit
CsvSchemaVersion,2,
ExportedAtLocal,2026-08-29T21:43:44.7581883+03:00,
ExperimentId,20381e30-b1fb-406c-986d-967738505551,
RunLabel,G-H-01,
ExperimentStartedAtLocal,2026-08-29T21:43:13.8382411+03:00,
ProgramVersion,1.0.0+15f28c6deb778a6b35e1c057af9e08980d5f2085,
Material,Grain,
Recipe,Hard,
OperationMode,Auto,
TemperatureControlMode,PID,
TemperatureSetpoint,58,degC
PressureSetpoint,25,kPa
AutomaticFanSetpoint,90,%
RecipeTemperatureSetpoint,58,degC
RecipePressureSetpoint,25,kPa
RecipeFanSpeed,90,%
MaximumAllowedTemperature,60,degC
InitialWetMass,20,kg
DryMass,15,kg
InitialMoistureWetBasis,25,% wb
TargetMoistureWetBasis,13,% wb
DryingCoefficient,0.5,-
TemperaturePID_Kp,8.5,%/°C
TemperaturePID_Ki,1.2,%/(°C·s)
TemperaturePID_Kd,0.7,%·s/°C
TemperaturePID_DerivativeFilterTimeConstant,5,s
PressurePI_Kp,4,%/kPa
PressurePI_Ki,0.15,%/(kPa·s)
ModelStep,0.1,s
ControllerStep,0.1,s
TrendSampleInterval,1,s
SimulationSpeedAtStart,600,x
AmbientTemperature,20,degC
AmbientPressure,101.3,kPa
AmbientRelativeHumidity,50,%
DisturbanceCount,0,
DisturbanceType,None,
DisturbanceTime,NotApplicable,s

Process Data
SampleNumber,ElapsedTime_s,ProcessStage,StageElapsedTime_s,SimulationSpeedMultiplier,ChamberTemperatureMeasured_C,ChamberTemperatureModel_C,MaterialTemperatureMeasured_C,MaterialTemperatureModel_C,TemperatureSetpoint_C,PressureMeasured_kPa,PressureModel_kPa,PressureSetpoint_kPa,VacuumLevel_pct,MaterialMoisture_wb_pct,MaterialMoisture_db_kg_per_kg,EquilibriumMoisture_wb_pct,AirHumidity_pct,MoistureRatio,AirFlowRate_m3_per_h,DryingRate_wb_pct_per_min,EvaporationRate_kg_per_s,TotalEnergy_kWh,EvaporatedWater_kg,Efficiency_kg_per_kWh,WaterVaporPartialPressure_kPa,WaterVaporMass_kg,PumpedWaterVapor_kg,CondensedWater_kg,AmbientWaterVaporIngress_kg,WaterVaporMassBalanceResidual_kg,HeaterPower_pct,VacuumPumpPower_pct,VentValveOpening_pct,FanSpeed_pct,MoistureTargetReached,SafetyInterlockActive,IsCompleted
39,39,Preheating,38.9,600,22.6,22.7690277647,20,20.036837219,58,101.4,101.3,101.3,0,24.9901181566,0.3331576793,10.1819827596,68.5673998797,0.9992870511,180,0.0086427957,0.0000384023,0.0590416667,0.0026348111,0.0446262993,1.8998682497,0.0069558289,0,0,0,0,100,0,0,90,false,false,false
40,40,Preheating,39.9,600,22.7,22.8362536371,20.1,20.0434158646,58,101.4,101.3,101.3,0,24.9899760092,0.3331551529,10.2080437959,68.676181325,0.9992767969,180,0.0084365787,0.0000374859,0.0605555556,0.002672707,0.0441364457,1.9106528388,0.0069937248,0,0,0,-0,100,0,0,90,false,false,false
41,41,Preheating,40.9,600,22.7,22.9033062634,20,20.0502273799,58,101.3,101.3,101.3,0,24.9898372403,0.3331526865,10.233271845,68.7751260159,0.9992667865,180,0.0082367147,0.0000365977,0.0620694444,0.0027097021,0.0436559745,1.9211948532,0.0070307199,0,0,0,-0,100,0,0,90,false,false,false
42,42,Preheating,41.9,600,22.8,22.9701866642,20.1,20.0572690968,58,101.3,101.3,101.3,0,24.9897017458,0.3331502784,10.257694014,68.8646161675,0.9992570123,180,0.0080429937,0.0000357368,0.0635833333,0.0027458241,0.0431846515,1.9315016914,0.0070668419,0,0,0,-0,100,0,0,90,false,false,false
43,43,Preheating,42.9,600,22.9,23.0368958512,20,20.0645384049,58,101.3,101.3,101.3,0,24.9895694253,0.3331479267,10.281336305,68.9450194855,0.9992474671,180,0.0078552145,0.0000349024,0.0650972222,0.0027810998,0.0427222502,1.9415805102,0.0071021177,0,0,0,-0,100,0,0,90,false,false,false
44,44,Preheating,43.9,600,22.9,23.1034348275,20,20.0720327501,58,101.3,101.3,101.3,0,24.9894401815,0.3331456297,10.3042236736,69.0166897825,0.9992381439,180,0.0076731835,0.0000340934,0.0666111111,0.0028155552,0.0422685516,1.9514382346,0.007136573,0,0,0,-0,100,0,0,90,false,false,false
45,45,Preheating,44.9,600,23,23.1698045871,20,20.0797496321,58,101.3,101.3,101.3,0,24.9893139202,0.3331433856,10.3263800832,69.0799675635,0.9992290359,180,0.0074967151,0.0000333092,0.068125,0.0028492153,0.041823344,1.9610815666,0.0071702332,0,0,0,-0,100,0,0,90,false,false,false
46,46,Preheating,45.9,600,23,23.2360061159,20,20.0876866024,58,101.2,101.3,101.3,0.0987166831,24.9891905506,0.333141193,10.3478285561,69.1351805833,0.9992201364,180,0.0073256308,0.000032549,0.0696388889,0.0028821045,0.0413864223,1.9705169942,0.0072031223,0,0,0,-0,100,0,0,90,false,false,false
47,47,Preheating,46.9,600,23.1,23.3020403913,20,20.0958412632,58,101.3,101.3,101.3,0,24.9890699843,0.3331390503,10.3685912209,69.1826443756,0.9992114393,180,0.0071597589,0.0000318119,0.0711527778,0.0029142462,0.040957588,1.9797507997,0.007235264,0,0,0,-0,100,0,0,90,false,false,false
48,48,Preheating,47.9,600,23.2,23.3679083824,20.1,20.1042112648,58,101.3,101.3,101.3,0,24.988952136,0.3331369558,10.3886893574,69.2226627569,0.9992029382,180,0.0069989343,0.0000310972,0.0726666667,0.0029456631,0.0405366488,1.9887890673,0.007266681,0,0,0,-0,100,0,0,90,false,false,false
